name,lat,lon
12334,12.9165761,77.6735535
12335,12.916576,77.6735535
12336,12.916576,77.6735535
12337,12.916576,77.6735535
12338,12.916576,77.6735535
12339,12.916576,77.6735534
12340,12.916576,77.6735534
12341,12.9165761,77.6735534
12342,12.9165761,77.6735535
12343,12.9165761,77.6735534
12344,12.9165802,77.6735538
12345,12.9165766,77.6735502
12346,12.9165645,77.6735437
12347,12.9165419,77.6735295
12348,12.9165133,77.6735483
12349,12.9165357,77.6735405
12350,12.9165377,77.6735524
12351,12.9165601,77.6735468
12352,12.9165794,77.6735279
12353,12.9166183,77.6735328
12354,12.9166377,77.6735232
12355,12.9166688,77.6735207
12356,12.9166885,77.6735213
12357,12.9167039,77.673522
12358,12.9167192,77.6735413
12359,12.9167344,77.6735498
12360,12.9167403,77.6735594
12361,12.9167503,77.6735743
12362,12.9167362,77.673605
12363,12.9167102,77.6736149
12364,12.9166365,77.6736389
12365,12.9165884,77.6736537
12366,12.9164861,77.6736835
12367,12.9164318,77.6737047
12368,12.9163758,77.6737239
12369,12.916266,77.6737647
12370,12.9162092,77.6738008
12371,12.9161063,77.6738634
12372,12.9159759,77.673944
12373,12.9159149,77.673994
12374,12.9157999,77.6741039
12375,12.9157324,77.674161
12376,12.913771,77.677413
12377,12.913771,77.677413
12378,12.913771,77.677413
12379,12.9121154,77.6815429
12380,12.9113123,77.6835036
12381,12.9112257,77.6834573
12382,12.9112257,77.6834573
12383,12.9122269,77.6820652
12384,12.9122269,77.6820652
12385,12.9122269,77.6820652
12386,12.9096914,77.6881485
12387,12.9078934,77.693114
12388,12.9073613,77.6953794
12389,12.9072802,77.6955645
12390,12.9072376,77.6956484
12391,12.9070192,77.6961811
12392,12.9070011,77.6963005
12393,12.9069577,77.696476
12394,12.9067664,77.6972393
12395,12.9066967,77.697422
12396,12.9066832,77.6975329
12397,12.90656,77.6982712
12398,12.9064772,77.6984514
12399,12.9064425,77.6985262
12400,12.9062651,77.6990847
12401,12.9061274,77.6992519
12402,12.9060671,77.6993522
12403,12.9056981,77.7000202
12404,12.9055807,77.7002211
12405,12.905522,77.7003435
12406,12.9049401,77.7046515
12407,12.9049401,77.7046515
12408,12.9086948,77.7057339
12409,12.9098008,77.7053231
12410,12.90869055,77.70570783
12411,12.90869056,77.70570784
12412,12.9087117,77.7057072
12413,12.9087093,77.705675
12414,12.9112133,77.7053231
12415,12.9098008,77.7053231
12416,12.9098008,77.7053231
12417,12.90864006,77.70576299
12418,12.9085585,77.705762
12419,12.9098008,77.7053231
12420,12.9085656,77.7057411
12421,12.9085804,77.7057081
12422,12.9085847,77.705694
12423,12.9085898,77.705685
12424,12.90858982,77.70568498
12425,12.9086214,77.7056885
12426,12.9098008,77.7053231
12427,12.908721,77.7056875
12428,12.9098008,77.7053231
12429,12.9086342,77.7056869
12430,12.9086342,77.7056869
12431,12.9098008,77.7053231
12432,12.9086397,77.7056835
12433,12.9086505,77.7056882
12434,12.9086506,77.7056882
12435,12.9086619,77.7056883
12436,12.9086716,77.7056895
12437,12.9086727,77.7056909
12438,12.9086691,77.705691
12439,12.9086709,77.7056894
12440,12.9086712,77.7056899
12441,12.9086772,77.7056888
12442,12.9086791,77.7056887
12443,12.9086798,77.7056889
12444,12.9086757,77.7056867
12445,12.9086756,77.7056857
12446,12.9086739,77.7056843
12447,12.9086749,77.7056831
12448,12.9090012,77.7057178
12449,12.9088351,77.7056195
12450,12.908677,77.7056792
12451,12.908677,77.7056792
12452,12.9098008,77.7053231
12453,12.908679,77.7056821
12454,12.9086805,77.7056826
12455,12.9098008,77.7053231
12456,12.9088949,77.7058922
12457,12.9088943,77.7058555
12458,12.9094862,77.7057748
12459,12.9098008,77.7053231
12460,12.9125986,77.7105706
12461,12.9125986,77.7105706
12462,12.9125986,77.7105706
12463,12.9133864,77.7139094
12464,12.9132853,77.7151781
12465,12.9133864,77.7139094
12466,12.915465,77.7206193
12467,12.9160959,77.7189178
12468,12.9137935,77.7224951
12469,12.9173228,77.7256851
12470,12.921091,77.719991
12471,12.9135618,77.7325108
12472,12.9185804,77.7334602
12473,12.9185804,77.7334602
12474,12.9201051,77.7364453
12475,12.9210366,77.7361774
12476,12.9261941,77.7382337
12477,12.9261941,77.7382337
12478,12.9256414,77.7375139
12479,12.9336962,77.740022
12480,12.9298489,77.7404442
12481,12.9323679,77.7423377
12482,12.9325101,77.7424411
12483,12.9326001,77.7425295
12484,12.9331546,77.7428503
12485,12.9333766,77.742983
12486,12.933514,77.7430183
12487,12.9346424,77.7434347
12488,12.9349133,77.7436432
12489,12.9350585,77.7436805
12490,12.9353094,77.7437756
12491,12.9358098,77.7440442
