name,lat,lon
12604,12.9916471,77.7253568
12605,12.9916471,77.7253568
12606,12.9943698,77.726852
12607,12.9934822,77.7267876
12608,12.9955709,77.7298269
12609,12.9955709,77.7298269
12610,12.9956693,77.7298365
12611,12.9957642,77.7299246
12612,12.9957915,77.7299345
12613,12.995729,77.7298825
12614,12.995721,77.729884
12615,12.9957055,77.7298808
12616,12.9956993,77.7298758
12617,12.9956882,77.72986
12618,12.9956624,77.7298187
12619,12.9956826,77.7298022
12620,12.9956893,77.7298171
12621,12.9957041,77.7297522
12622,12.9957098,77.7297376
12623,12.995765,77.7297096
12624,12.995765,77.7297096
12625,12.9942913,77.7289339
12626,12.9946112,77.7284071
12627,12.9946112,77.7284071
12628,12.9942436,77.7300169
12629,12.9993923,77.7321531
12630,12.9946911,77.7224951
12631,12.9946911,77.7224951
